csv_row,product_id,price_id,mofu_sku,product_name,csv_cost_cny,csv_proposed_hkd,status,current_live_hkd,issue,csv_target_cents
54,prod_V8xX5m49XGPiSw,price_1U8fcFRyM6dRKLtZeD9cGjwS,MH-CAT-MONP-005,Mon Petit Crispy Kiss 奢華雞肉味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Chicken Flavour Cat Treats 24g,13.9,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
55,prod_V8xXBfCtwPwxjK,price_1U8fcERyM6dRKLtZ463dtKpL,MH-CAT-MONP-006,Mon Petit Crispy Kiss 奢華鮮魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Fish Flavour Cat Treats 24g,13.9,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
56,prod_V8xXV7x4AmWu89,price_1U8fcRRyM6dRKLtZMvlsOquW,MH-CAT-MONP-007,Mon Petit Crispy Kiss 奢華三文魚味貓咪小食 24g｜Mon Petit Crispy Kiss Luxury Salmon Flavour Cat Treats 24g,13.9,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
57,prod_V8xXRC7As2ra5W,price_1U8fcHRyM6dRKLtZ0WA7KbpT,MH-CAT-MONP-008,Mon Petit Crispy Kiss 肉類精選綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Meat Selection Variety Pack Cat Treats 144g,59.9,127.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
58,prod_V8xXMB8UApWAYP,price_1U8fcQRyM6dRKLtZAt0dJH05,MH-CAT-MONP-009,"Mon Petit Crispy Kiss 三文魚、鰹魚及小魚味貓咪小食 30g｜Mon Petit Crispy Kiss Salmon, Bonito and Small Fish Cat Treats 30g",13.9,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
59,prod_V8xXmrlDUto85d,price_1U8fcKRyM6dRKLtZsJdoHEu4,MH-CAT-MONP-010,Mon Petit Crispy Kiss 海鮮味貓咪小食 30g｜Mon Petit Crispy Kiss Seafood Flavour Cat Treats 30g,13.9,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
60,prod_V8xX3586zZhcZt,price_1U8fcMRyM6dRKLtZa6kX1FcS,MH-CAT-MONP-011,"Mon Petit Crispy Kiss 海鮮、芝士及雞肉燒烤味綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Seafood, Cheese and Chicken Grill Variety Pack Cat Treats 144g",59.9,127.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
61,prod_V8xXFw4xx3NEuP,price_1U8fcIRyM6dRKLtZhierJFH2,MH-CAT-MONP-012,Mon Petit Crispy Kiss 海鮮及雞肉綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Seafood and Chicken Variety Pack Cat Treats 144g,59.9,127.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
62,prod_V8xXZsF0TMS5c8,price_1U8fcORyM6dRKLtZ1yMnnhEK,MH-CAT-MONP-013,"Mon Petit Crispy Kiss 真鯛、鰹魚及小魚高湯味貓咪小食 30g｜Mon Petit Crispy Kiss Snapper, Skipjack Tuna and Small Fish Broth Cat Treats 30g",13.9,29.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
63,prod_V8xXM2ONlpEcC3,price_1U8fcNRyM6dRKLtZWtmFsbjT,MH-CAT-MONP-014,Mon Petit Crispy Kiss 真鯛及海鮮綜合包貓咪小食 144g｜Mon Petit Crispy Kiss Snapper and Seafood Assortment Cat Treats 144g,59.9,127.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
64,prod_V8uInkIOBbpTsp,price_1U8cU6RyM6dRKLtZIwFymbls,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,90.0,191.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
65,prod_V8uInkIOBbpTsp,price_1U8cU6RyM6dRKLtZuYsvr2FS,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,46.0,97.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
66,prod_V8uInkIOBbpTsp,price_1U8cU7RyM6dRKLtZu7s2FINt,MH-CAT-PAMAX-001,PAMAX Miracle Series 生物酶除味貓砂 2.7kg｜PAMAX Miracle Series Enzyme Odour-Control Cat Litter 2.7kg,223.0,473.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
67,prod_V8uIPfhAKY5ONF,price_1U8cU9RyM6dRKLtZnyUTF5xl,MH-CAT-SNP-001,SNAPPY 低粉塵膨潤土貓砂 原味無香 7L｜SNAPPY Low-Dust Bentonite Cat Litter Unscented 7L,45.45,96.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
68,prod_V8vriJ8BqO90r3,price_1U8e01RyM6dRKLtZOgbpOPvb,MH-CAT-SNR-001,AIM30 貓咪鰹魚削節 12g｜AIM30 Cat Bonito Flakes 12g,19.8,42.9,blocked,,Stripe Price is inactive; exact CSV Price ID cannot be changed safely,
