product_id,product_name,mofu_sku,price_id,is_default,variant_label_zh,retail_hkd,cost_cny,cost_source,cost_hkd_at_rate,gross_profit_hkd,gross_margin_pct
prod_V8crvbMiPxxJvt,COMBO Present 維護腎臟 混合海鮮 小包｜COMBO Present Kidney Health Support Seafood Mini Pack,MH-CAT-CMP-014,price_1U91uLRyM6dRKLtZBEnP9BZH,True,42g (3g×14包),33.9,,,,,
prod_V8cr9iyVmqUz8O,COMBO Present 潔齒防口臭 混合肉味 小包｜COMBO Present Dental and Breath Care Meat Mini Pack,MH-CAT-CMP-002,price_1U91uMRyM6dRKLtZblVt7aTW,True,42g (3g×14包),33.9,,,,,
prod_V8crzRJNuOzt2e,COMBO Present 潔齒防口臭 混合海鮮 小包｜COMBO Present Dental and Breath Care Seafood Mini Pack,MH-CAT-CMP-003,price_1U91uNRyM6dRKLtZ5Ltl3EIX,True,42g (3g×14包),33.9,,,,,
prod_V8crHGAsSzl77H,COMBO Present 男生喜歡的口味 魚味 小包｜COMBO Present Boy-Friendly Fish Mini Pack,MH-CAT-CMP-001,price_1U91uORyM6dRKLtZNIIokvMi,True,42g (3g×14包),33.9,,,,,
prod_V8cr9Jv6Ewv0ui,COMBO Present 女生喜歡口味 混合海鮮 小包｜COMBO Present Girl-Friendly Seafood Mini Pack,MH-CAT-CMP-007,price_1U91uPRyM6dRKLtZHmIahrQe,True,42g (3g×14包),33.9,,,,,
prod_V8crT5vLCe95hY,COMBO Present 腸道環境維持 海鮮 小包｜COMBO Present Digestive Support Seafood Mini Pack,MH-CAT-CMP-005,price_1U91uQRyM6dRKLtZChQ3XHkN,True,42g (3g×14包),33.9,,,,,
prod_V8crrguHp5YAXt,COMBO Present 免疫力維持 海鮮 小包｜COMBO Present Immune Support Seafood Mini Pack,MH-CAT-CMP-009,price_1U91uRRyM6dRKLtZKnB9Zin9,True,42g (3g×14包),33.9,,,,,
prod_V8crhpakrZfoXD,COMBO Present 室內貓 金槍魚 小包｜COMBO Present Indoor Cat Tuna Mini Pack,MH-CAT-CMP-012,price_1U91uSRyM6dRKLtZnr1jPUmO,True,42g (3g×14包),33.9,,,,,
prod_V8crErEJilA30r,COMBO Present 維護腎臟配方 三種口味｜COMBO Present Kidney Health Support Three-Flavour Variety Pack,MH-CAT-CMP-015,price_1U91uTRyM6dRKLtZrzNuC1Z8,True,90g (3g×30包),59.9,,,,,
prod_V8crKsH08GDJxM,COMBO Present 維護泌尿配方 三種口味｜COMBO Present Urinary Health Support Three-Flavour Variety Pack,MH-CAT-CMP-018,price_1U91uTRyM6dRKLtZ1G1sMnnr,True,90g (3g×30包),59.9,,,,,
prod_V8crNNIKOTELSy,COMBO Present 潔齒防口臭 三種口味｜COMBO Present Dental and Breath Care Three-Flavour Variety Pack,MH-CAT-CMP-004,price_1U91uURyM6dRKLtZUjYblE0G,True,90g (3g×30包),59.9,,,,,
prod_V8croZ9K3Kppbf,COMBO Present 室內貓化毛 三種口味｜COMBO Present Indoor Cat Hairball Care Three-Flavour Variety Pack,MH-CAT-CMP-011,price_1U91uVRyM6dRKLtZxa9SrPzw,True,90g (3g×30包),59.9,,,,,
prod_V8cr2Q8hiWwniV,COMBO Present 免疫力維持 三種口味｜COMBO Present Immune Support Three-Flavour Variety Pack,MH-CAT-CMP-010,price_1U91uWRyM6dRKLtZyHo2neqX,True,90g (3g×30包),59.9,,,,,
prod_V8cr9ARnvUOKQM,COMBO Present 腸道環境維持 三種口味｜COMBO Present Digestive Support Three-Flavour Variety Pack,MH-CAT-CMP-006,price_1U91uXRyM6dRKLtZHlUm9XxG,True,90g (3g×30包),59.9,,,,,
prod_V8cru9Bp0V6puG,DoggyMan 爆漿夾心卷（雞肝）｜DoggyMan Creamy Chicken Liver Roll Treats,MH-DOG-DGM-001,price_1U91uYRyM6dRKLtZ9yfi282c,True,30g,46.9,,,,,
prod_V8cr46ftMdO2E3,DoggyMan 爆漿夾心卷（雞肉）｜DoggyMan Creamy Chicken Roll Treats,MH-DOG-DGM-002,price_1U91uZRyM6dRKLtZtuDWHNVN,True,30g,46.9,,,,,
prod_V8ZpWi2bc00Aty,白身魚口味罐頭（White Fish）,MH-DOG-IRIS-007,price_1U91ucRyM6dRKLtZ4LOZNmq4,True,5罐裝,46.9,,,,,
prod_V8ZpWi2bc00Aty,白身魚口味罐頭（White Fish）,MH-DOG-IRIS-007,price_1U91ubRyM6dRKLtZ2js2MGbu,False,15罐裝,99.9,,,,,
prod_V8ZpWi2bc00Aty,白身魚口味罐頭（White Fish）,MH-DOG-IRIS-007,price_1U91uaRyM6dRKLtZgq1ZdJ9I,False,30罐裝,189.9,,,,,
prod_V8ZpDXl9RWMDbc,雞肉口味罐頭（Chicken）,MH-DOG-IRIS-003,price_1U91ueRyM6dRKLtZEUzLG2wv,True,5罐裝,46.9,,,,,
prod_V8ZpDXl9RWMDbc,雞肉口味罐頭（Chicken）,MH-DOG-IRIS-003,price_1U91udRyM6dRKLtZtxhDCmKe,False,15罐裝,99.9,,,,,
prod_V8ZpDXl9RWMDbc,雞肉口味罐頭（Chicken）,MH-DOG-IRIS-003,price_1U91udRyM6dRKLtZjbQCaLvn,False,30罐裝,189.9,,,,,
prod_V8Zo9dzijaQ39p,牛肉口味罐頭（Beef）,MH-DOG-IRIS-001,price_1U91ugRyM6dRKLtZHRr1tpXd,True,5罐裝,46.9,,,,,
prod_V8Zo9dzijaQ39p,牛肉口味罐頭（Beef）,MH-DOG-IRIS-001,price_1U91ufRyM6dRKLtZxUKK8fRS,False,15罐裝,99.9,,,,,
prod_V8Zo9dzijaQ39p,牛肉口味罐頭（Beef）,MH-DOG-IRIS-001,price_1U91ufRyM6dRKLtZfIxnBqQj,False,30罐裝,189.9,,,,,
prod_V8ZodBXbffvz6o,雞肝口味罐頭（Chicken Liver）,MH-DOG-IRIS-002,price_1U91uiRyM6dRKLtZBiwChZDM,True,5罐裝,46.9,,,,,
prod_V8ZodBXbffvz6o,雞肝口味罐頭（Chicken Liver）,MH-DOG-IRIS-002,price_1U91uiRyM6dRKLtZbWctFTP9,False,15罐裝,99.9,,,,,
prod_V8ZodBXbffvz6o,雞肝口味罐頭（Chicken Liver）,MH-DOG-IRIS-002,price_1U91uhRyM6dRKLtZvydC0Bg6,False,30罐裝,189.9,,,,,
prod_V8ZoNtJinLFNNG,新款 2個口味拼罐頭（New 2-Flavor Mix）,MH-DOG-IRIS-004,price_1U91ulRyM6dRKLtZEBtAJZCX,True,5罐裝,46.9,,,,,
prod_V8ZoNtJinLFNNG,新款 2個口味拼罐頭（New 2-Flavor Mix）,MH-DOG-IRIS-004,price_1U91ukRyM6dRKLtZDGjpvD8b,False,15罐裝,109.9,,,,,
prod_V8ZoNtJinLFNNG,新款 2個口味拼罐頭（New 2-Flavor Mix）,MH-DOG-IRIS-004,price_1U91ujRyM6dRKLtZkc9AN38t,False,30罐裝,199.9,,,,,
prod_V8ZoJ2fwrBOiHL,新款牛肉米飯罐頭（New Beef & Rice）,MH-DOG-IRIS-005,price_1U91unRyM6dRKLtZ71tl6SBA,True,5罐裝,46.9,,,,,
prod_V8ZoJ2fwrBOiHL,新款牛肉米飯罐頭（New Beef & Rice）,MH-DOG-IRIS-005,price_1U91umRyM6dRKLtZF4bFf505,False,15罐裝,99.9,,,,,
prod_V8ZoJ2fwrBOiHL,新款牛肉米飯罐頭（New Beef & Rice）,MH-DOG-IRIS-005,price_1U91umRyM6dRKLtZZ6Bp2sqT,False,30罐裝,189.9,,,,,
prod_V8ZorEO6daplRl,新款牛肉蔬菜罐頭（New Beef & Vegetables）,MH-DOG-IRIS-006,price_1U91upRyM6dRKLtZKBR18rK8,True,5罐裝,46.9,,,,,
prod_V8ZorEO6daplRl,新款牛肉蔬菜罐頭（New Beef & Vegetables）,MH-DOG-IRIS-006,price_1U91uoRyM6dRKLtZ4AV2DvUV,False,15罐裝,99.9,,,,,
prod_V8ZorEO6daplRl,新款牛肉蔬菜罐頭（New Beef & Vegetables）,MH-DOG-IRIS-006,price_1U91uoRyM6dRKLtZoMbTbHm9,False,30罐裝,189.9,,,,,
prod_V8W0gp0Oink4Cg,雞里脊 150g (犬用) (現貨 / 2027.11.11),MH-DOG-MCK-001,price_1U91uqRyM6dRKLtZPATuxk6g,True,,258.9,,,,,
prod_V8W0oLt83VbMEB,三文魚 17g (預定),MH-CAT-MCK-001,price_1U91urRyM6dRKLtZbLU0E4rZ,True,,107.9,,,,,
prod_V8W0xHzc6tqf3B,胡瓜魚凍干 10g (預定),MH-CAT-MCK-005,price_1U91usRyM6dRKLtZD1lPxnJx,True,,81.9,,,,,
prod_V8W0mdB77ZJc5M,金槍魚 14g (預定),MH-CAT-MCK-009,price_1U91utRyM6dRKLtZxkvanqKa,True,,81.9,,,,,
prod_V8W0fChA9h4VNq,虹鱒魚 15g (現貨 / 賞味 27.5),MH-CAT-MCK-006,price_1U91uuRyM6dRKLtZkVdoxOMB,True,,81.9,,,,,
prod_V8W0BWVdW0bKlr,扇貝 11g (現貨 / 27.01.15),MH-CAT-MCK-003,price_1U91uvRyM6dRKLtZq06gK9uI,True,,79.9,,,,,
prod_V8W073h3MHqGhr,銀魚 10g (預定),MH-CAT-MCK-010,price_1U91uwRyM6dRKLtZHUSUMD3M,True,,79.9,,,,,
prod_V8W0DDhtV271xl,豬大腿肉 20g (預定),MH-CAT-MCK-007,price_1U91uxRyM6dRKLtZpAFxi6yJ,True,,74.9,,,,,
prod_V8W0eQFDHSCPxC,牛大腿肉 17g (現貨 / 2027.12.01),MH-CAT-MCK-004,price_1U91uyRyM6dRKLtZGsbsYSDs,True,,83.9,,,,,
prod_V8W0LKmYo2bfxf,豬心 25g (預定 (缺貨)),MH-CAT-MCK-008,price_1U91uzRyM6dRKLtZ9vw5RUda,True,,76.9,,,,,
prod_V8W0n6wDbyKpya,圓粒雞里脊 18g (現貨 / 賞味 28.01),MH-CAT-MCK-002,price_1U91v0RyM6dRKLtZaK5aufiN,True,,65.9,,,,,
prod_V8W0OgEY0HBtlD,雞里脊碎沫凍干粉拌飯 (預定),MH-CAT-MCK-020,price_1U91v0RyM6dRKLtZ6o10IZd1,True,,91.9,,,,,
prod_V8W07sgetW5UqK,雞胸肉碎沫凍干粉拌飯 (現貨 / 2027.11.17),MH-CAT-MCK-013,price_1U91v1RyM6dRKLtZ2aNtiHbD,True,,76.9,,,,,
prod_V8W06fowHsMOSF,雞胸肉雞肫凍干 120g (現貨 / 2027.04.03),MH-CAT-MCK-016,price_1U91v2RyM6dRKLtZQb2bXuDo,True,,251.9,,,,,
prod_V8W072ieTWyOZ7,雞胸肉雞肫凍干 18g (現貨 / 2027.04.25),MH-CAT-MCK-017,price_1U91v3RyM6dRKLtZV3hlbOXt,True,,63.9,,,,,
prod_V8W0oMeIOyFLhp,雞胸肉雞肝凍干 120g (現貨 / 27.07),MH-CAT-MCK-014,price_1U91v4RyM6dRKLtZ7RspiN3q,True,,251.9,,,,,
prod_V8VzYLI6mgAR3P,雞胸肉雞肝凍干 18g (預定),MH-CAT-MCK-015,price_1U91v5RyM6dRKLtZyWTNvKoL,True,,63.9,,,,,
prod_V8Vz4r6kx51OK2,雞里脊 150g (現貨 / 2027.11.30),MH-CAT-MCK-018,price_1U91v6RyM6dRKLtZ9ZxpS1Yj,True,,263.9,,,,,
prod_V8VzICRXhFqVtH,雞里脊 30g (預定),MH-CAT-MCK-019,price_1U91v7RyM6dRKLtZuSNhlzUp,True,,78.9,,,,,
prod_V8VzG9Cs8B2Rjb,雞胸肉 150g (現貨 / 賞味 27.10),MH-CAT-MCK-011,price_1U91v8RyM6dRKLtZ3inxiptO,True,,263.9,,,,,
prod_V8VzTooOH64y65,雞胸肉 30g (現貨 / 賞味 28.01),MH-CAT-MCK-012,price_1U91v9RyM6dRKLtZq29W1nZq,True,,78.9,,,,,
