mofu_sku,brand,product_id,price_id,product_name,variant_label_zh,current_hkd,formula_fx_cny_to_hkd,formula_retail_multiplier,implied_cost_cny_baseline,forward_formula_hkd_at_same_fx,price_change_hkd_at_same_fx,data_classification,must_not_write_as,write_action
MH-CAT-CMP-011,COMBO Present,prod_V8croZ9K3Kppbf,price_1U8VfrRyM6dRKLtZUS6x0qQo,COMBO Present 室內貓化毛 三種口味｜COMBO Present Indoor Cat Hairball Care Three-Flavour Variety Pack,90g (3g×30包),58.90,1.166,1.76,28.70146577,58.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-012,COMBO Present,prod_V8crhpakrZfoXD,price_1U8VfqRyM6dRKLtZkB11qUqD,COMBO Present 室內貓 金槍魚 小包｜COMBO Present Indoor Cat Tuna Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-013,COMBO Present,prod_V8crtmrNegpX6C,price_1U8Vg5RyM6dRKLtZqlVvcVTl,COMBO Present 維護腎臟 混合肉味 小包｜COMBO Present Kidney Health Support Meat Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-014,COMBO Present,prod_V8crvbMiPxxJvt,price_1U8Vg3RyM6dRKLtZqTxXdIMe,COMBO Present 維護腎臟 混合海鮮 小包｜COMBO Present Kidney Health Support Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-015,COMBO Present,prod_V8crErEJilA30r,price_1U8Vg7RyM6dRKLtZaWtSwItm,COMBO Present 維護腎臟配方 三種口味｜COMBO Present Kidney Health Support Three-Flavour Variety Pack,90g (3g×30包),58.90,1.166,1.76,28.70146577,58.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-016,COMBO Present,prod_V8crzn01d7SXcg,price_1U8VfhRyM6dRKLtZQxO4fpuu,COMBO Present 低脂絕育貓 混合海鮮 小包｜COMBO Present Low-Fat Neutered Cat Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-017,COMBO Present,prod_V8cr8kOWyjP3g1,price_1U8Vg0RyM6dRKLtZALUmo5Pt,COMBO Present 維護泌尿 混合海鮮 小包｜COMBO Present Urinary Health Support Seafood Mini Pack,42g (3g×14包),32.90,1.166,1.76,16.03188835,32.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-CAT-CMP-018,COMBO Present,prod_V8crKsH08GDJxM,price_1U8Vg1RyM6dRKLtZnRYfKHeX,COMBO Present 維護泌尿配方 三種口味｜COMBO Present Urinary Health Support Three-Flavour Variety Pack,90g (3g×30包),58.90,1.166,1.76,28.70146577,58.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DGM-001,DoggyMan,prod_V8cru9Bp0V6puG,price_1U8VgDRyM6dRKLtZ24NTG3uj,DoggyMan 爆漿夾心卷（雞肝）｜DoggyMan Creamy Chicken Liver Roll Treats,30g,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
MH-DOG-DGM-002,DoggyMan,prod_V8cr46ftMdO2E3,price_1U8VgBRyM6dRKLtZv2Xk9e47,DoggyMan 爆漿夾心卷（雞肉）｜DoggyMan Creamy Chicken Roll Treats,30g,45.90,1.166,1.76,22.36667706,45.90,0.00,implied_from_current_retail_not_verified_purchase_cost,cost_cny / cny_cost,preview_only_no_stripe_write
