csv_row,product_id,source_csv_price_id,current_active_price_id,mofu_sku,product_name,cost_cny,proposed_hkd,csv_target_cents,current_live_hkd,mapping_status,mapping_basis,issue
22,prod_V90yoyex98iTAW,price_1U8iwrRyM6dRKLtZ3rlOZMIV,price_1U90VYRyM6dRKLtZfSre5KHV,MH-CAT-CIAO-021,CIAO｜14歲以上鮪魚白肉小銀魚貓罐頭｜單罐,15.8,33.9,3390,32.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
23,prod_V90yC8a54bE0EL,price_1U8iwsRyM6dRKLtZ9WdAiJhl,price_1U90VLRyM6dRKLtZHECimDDB,MH-CAT-CIAO-022,CIAO｜14歲以上鰹魚柴魚片貓罐頭｜單罐,15.8,33.9,3390,32.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
24,prod_V90yhIRALdzZyY,price_1U8iwtRyM6dRKLtZyY5icJzG,price_1U8iwtRyM6dRKLtZyY5icJzG,MH-CAT-CIAO-023,Inaba かつまぐろ｜鮪魚雞肉貓罐頭｜85g／單罐,6.81,14.9,1490,14.90,eligible_exact_active_price,exact CSV Price ID remains active,
25,prod_V90yhuy2ZgCVZK,price_1U8iwuRyM6dRKLtZD1NxsXXw,price_1U8iwuRyM6dRKLtZD1NxsXXw,MH-CAT-CIAO-024,Inaba かつまぐろ｜鮪魚貓罐頭｜85g／單罐,6.81,14.9,1490,14.90,eligible_exact_active_price,exact CSV Price ID remains active,
26,prod_V90yWS8dLSjcn2,price_1U8iwwRyM6dRKLtZ4TVBysAG,price_1U8iwwRyM6dRKLtZ4TVBysAG,MH-CAT-CIAO-025,Inaba かつまぐろ｜鮪魚三文魚貓罐頭｜85g／單罐,6.81,14.9,1490,14.90,eligible_exact_active_price,exact CSV Price ID remains active,
27,prod_V90yAWxmanLYZk,price_1U8iwxRyM6dRKLtZccf5xxZZ,price_1U8iwxRyM6dRKLtZccf5xxZZ,MH-CAT-CIAO-026,Inaba かつまぐろ｜鮪魚小銀魚貓罐頭｜85g／單罐,6.81,14.9,1490,14.90,eligible_exact_active_price,exact CSV Price ID remains active,
28,prod_V90yCfcKRyo9ou,price_1U8iwyRyM6dRKLtZS9C8A5Eu,price_1U90VLRyM6dRKLtZENtMthNq,MH-CAT-CIAO-027,Inaba かつまぐろ｜多口味隨機混拼貓罐頭｜85g × 6罐,29.42,62.9,6290,60.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
29,prod_V90yWGm3mtcreN,price_1U8iwzRyM6dRKLtZ5uUc9AxZ,price_1U8iwzRyM6dRKLtZ5uUc9AxZ,MH-CAT-CIAO-028,Inaba かつまぐろ｜高齡貓鮪魚貓罐頭｜85g／單罐,6.81,14.9,1490,14.90,eligible_exact_active_price,exact CSV Price ID remains active,
30,prod_V8uJcEJtSEmb69,price_1U8cUURyM6dRKLtZjiy5wjhq,price_1U90UYRyM6dRKLtZrFyIguvH,MH-CAT-GNSP-006,銀之匙 三ツ星グルメ 香酥魚香 魚味綜合乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Assorted Fish Dry Cat Food 200g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
31,prod_V8uJI32Jxh5dCc,price_1U8cUPRyM6dRKLtZO8S4Hj2n,price_1U90UVRyM6dRKLtZdpRMCdVh,MH-CAT-GNSP-007,銀之匙 三ツ星グルメ 香酥魚香 魚肉雞肉四拼乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish & Chicken Four-Recipe Dry Cat Food 200g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
32,prod_V8uILuFno1z4MZ,price_1U8cUMRyM6dRKLtZiqoZhzs8,price_1U90ULRyM6dRKLtZEB8JClxR,MH-CAT-GNSP-008,銀之匙 三ツ星グルメ 香酥魚香 腸胃健康照護乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish Gut-Health Care Dry Cat Food 200g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
33,prod_V8uJPueROjgX6L,price_1U8cURRyM6dRKLtZxOISi7XP,price_1U90UWRyM6dRKLtZpGCnNCfv,MH-CAT-GNSP-009,銀之匙 三ツ星グルメ 香酥魚香 毛球護理乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Fish Hairball Care Dry Cat Food 200g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
34,prod_V8uJVy7nhLvdrI,price_1U8cUXRyM6dRKLtZaTGFfSor,price_1U90UXRyM6dRKLtZPnwAPeD0,MH-CAT-GNSP-010,"銀之匙 三ツ星グルメ 香酥魚香 金槍魚鯛魚鰹魚扇貝乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet Aromatic Tuna, Sea Bream, Bonito & Scallop Dry Cat Food 200g",44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
35,prod_V8uIfmE32YGKQz,price_1U8cUHRyM6dRKLtZILTR8TCU,price_1U90URRyM6dRKLtZrJSTVo0e,MH-CAT-GNSP-011,銀之匙 三ツ星グルメ 夾心奶油 魚味綜合乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Assorted Fish Dry Cat Food 180g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
36,prod_V8uIgedRHwtgJJ,price_1U8cUJRyM6dRKLtZoV9l2W9Y,price_1U90USRyM6dRKLtZcBAMOLrG,MH-CAT-GNSP-012,銀之匙 三ツ星グルメ 夾心奶油 腸胃健康魚味三拼乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Gut-Health Fish Three-Recipe Dry Cat Food 180g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
37,prod_V8uIc8IHCyEuCW,price_1U8cUCRyM6dRKLtZZdqgSvlS,price_1U90UQRyM6dRKLtZMBbN46uT,MH-CAT-GNSP-013,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鰹魚味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Bonito Dry Cat Food 180g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
38,prod_V8uID4s03TNUrL,price_1U8cUERyM6dRKLtZmdIE2erH,price_1U90UJRyM6dRKLtZkHGlR5LS,MH-CAT-GNSP-014,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鯛魚味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Sea Bream Dry Cat Food 180g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
39,prod_V8vr5nCW67gu8X,price_1U8e0ARyM6dRKLtZWOXn9WYV,price_1U90UcRyM6dRKLtZI9rgG0ZK,MH-CAT-GNSP-015,銀之匙 三ツ星グルメ 魚肉奶油夾心 鮪魚及白蝦味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & White Shrimp Dry Cat Food 180g,55.0,116.9,11690,112.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
40,prod_V8th4gMOUDUrzu,price_1U8btqRyM6dRKLtZ3JpWeJNI,price_1U90U9RyM6dRKLtZVNCdKvBq,MH-CAT-GNSP-016,銀之匙 三ツ星グルメ 夾心奶油 魚肉雞里脊三拼乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Fish & Chicken Tender Three-Recipe Dry Cat Food 180g,46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
41,prod_V8thb2VVnmHjCY,price_1U8bttRyM6dRKLtZYVjv60by,price_1U90UERyM6dRKLtZ1iJxMjSq,MH-CAT-GNSP-017,銀之匙 三ツ星グルメ 夾心奶油 金槍魚鰹魚毛球護理乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Bonito Hairball Care Dry Cat Food 180g,46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
42,prod_V8th51dTMblovb,price_1U8btoRyM6dRKLtZuVNr212k,price_1U90UARyM6dRKLtZVVo8P52S,MH-CAT-GNSP-018,銀之匙 三ツ星グルメ 夾心奶油 金槍魚雞里脊味乾糧 180g｜Gin no Spoon Mitsuboshi Gourmet Cream-Filled Tuna & Chicken Tender Dry Cat Food 180g,46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
43,prod_V8thjTAXBn4Lnx,price_1U8btlRyM6dRKLtZG99b8TZR,price_1U90UFRyM6dRKLtZfDs6FCKI,MH-CAT-GNSP-019,銀之匙 三ツ星グルメ 香酥魚香毛球護理乾糧 240g｜Gin no Spoon Mitsuboshi Gourmet Fish Recipe Hairball Care Dry Cat Food 240g,44.8,95.9,9590,92.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
44,prod_V8thBqcqHiv3cZ,price_1U8bu8RyM6dRKLtZrtZ6IOrx,price_1U90UBRyM6dRKLtZweJ42eYf,MH-CAT-GNSP-020,銀之匙 三ツ星グルメ 幼貓魚味加牛奶乾糧 240g｜Gin no Spoon Mitsuboshi Gourmet Kitten Fish Recipe with Milk Dry Cat Food 240g,46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
45,prod_V8thwhOf6ahDTN,price_1U8bu5RyM6dRKLtZGPNwKLAo,price_1U90UJRyM6dRKLtZSS0HzuHg,MH-CAT-GNSP-021,銀之匙 三ツ星グルメ 10歲起腎臟健康維護魚味四拼乾糧 200g｜Gin no Spoon Mitsuboshi Gourmet 10+ Kidney Health Maintenance Fish Four-Recipe Dry Cat Food 200g,46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
46,prod_V8thRjwLfHWe9X,price_1U8btvRyM6dRKLtZPuQqw0hP,price_1U90UDRyM6dRKLtZGGjbUvCL,MH-CAT-GNSP-022,銀之匙 三ツ星グルメ 鮮旨香 魚肉雞里脊三拼乾糧 160g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Fish & Chicken Tender Three-Recipe Dry Cat Food 160g,46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
47,prod_V8thsQJq4RYszQ,price_1U8btyRyM6dRKLtZ2aDVvnPF,price_1U90UIRyM6dRKLtZX816NXBC,MH-CAT-GNSP-023,"銀之匙 三ツ星グルメ 鮮旨香 金槍魚雞里脊鰹魚乾糧 192g｜Gin no Spoon Mitsuboshi Gourmet Shimi-Uma Tuna, Chicken Tender & Bonito Dry Cat Food 192g",46.8,99.9,9990,96.90,eligible_replacement_lineage,same Product plus metadata-identical active replacement Price,
