產品序號,店內 SKU,產品名稱,品牌,供應商 SKU,Stripe Product ID,Stripe Price ID,Price 是否預設,變體／規格,現行 HKD 售價,原始匯入來源,待輸入 CNY 成本（此 Price）,成本來源／供應商連結或單據,成本日期,確認目標毛利率（例如 0.45）,入境／運費 HKD（如適用）,備註
87,MH-DOG-IRIS-004,新款 2個口味拼罐頭（New 2-Flavor Mix）,ONE CARE,,prod_V8ZoNtJinLFNNG,price_1U8Vh4RyM6dRKLtZAatzUjjE,否,30罐裝,198.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
88,MH-DOG-IRIS-005,新款牛肉米飯罐頭（New Beef & Rice）,ONE CARE,,prod_V8ZoJ2fwrBOiHL,price_1U8Vh5RyM6dRKLtZbYoXHN33,是,5罐裝,45.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
88,MH-DOG-IRIS-005,新款牛肉米飯罐頭（New Beef & Rice）,ONE CARE,,prod_V8ZoJ2fwrBOiHL,price_1U8Vh7RyM6dRKLtZJXZ94rLD,否,15罐裝,98.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
88,MH-DOG-IRIS-005,新款牛肉米飯罐頭（New Beef & Rice）,ONE CARE,,prod_V8ZoJ2fwrBOiHL,price_1U8Vh8RyM6dRKLtZHSPJQw7B,否,30罐裝,188.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
89,MH-DOG-IRIS-006,新款牛肉蔬菜罐頭（New Beef & Vegetables）,ONE CARE,,prod_V8ZorEO6daplRl,price_1U8VhARyM6dRKLtZCksW5NjG,是,5罐裝,45.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
89,MH-DOG-IRIS-006,新款牛肉蔬菜罐頭（New Beef & Vegetables）,ONE CARE,,prod_V8ZorEO6daplRl,price_1U8VhBRyM6dRKLtZULSmUBud,否,15罐裝,98.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
89,MH-DOG-IRIS-006,新款牛肉蔬菜罐頭（New Beef & Vegetables）,ONE CARE,,prod_V8ZorEO6daplRl,price_1U8VhCRyM6dRKLtZbmo2rOZf,否,30罐裝,188.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
90,MH-DOG-IRIS-007,白身魚口味罐頭（White Fish）,ONE CARE,,prod_V8ZpWi2bc00Aty,price_1U8VhKRyM6dRKLtZ1BP6Yc7u,是,5罐裝,45.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
90,MH-DOG-IRIS-007,白身魚口味罐頭（White Fish）,ONE CARE,,prod_V8ZpWi2bc00Aty,price_1U8VhLRyM6dRKLtZCwjfhbdt,否,15罐裝,98.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
90,MH-DOG-IRIS-007,白身魚口味罐頭（White Fish）,ONE CARE,,prod_V8ZpWi2bc00Aty,price_1U8VhNRyM6dRKLtZyBD2uK6n,否,30罐裝,188.90,MofuHaven_7_Flavors_Tiered_Pricing.csv,,,,,,
91,MH-DOG-MCK-001,雞里脊 150g (犬用) (現貨 / 2027.11.11),Mamacook,,prod_V8W0gp0Oink4Cg,price_1U8VhpRyM6dRKLtZBDNjC1P3,是,單一規格,257.90,pet_products_clean_retail_only.csv,,,,,,
