產品序號,店內 SKU,產品名稱,品牌,供應商 SKU,Stripe Product ID,Stripe Price ID,Price 是否預設,變體／規格,現行 HKD 售價,原始匯入來源,待輸入 CNY 成本（此 Price）,成本來源／供應商連結或單據,成本日期,確認目標毛利率（例如 0.45）,入境／運費 HKD（如適用）,備註
57,MH-CAT-MCK-019,雞里脊 30g (預定),Mamacook,,prod_V8VzICRXhFqVtH,price_1U8VhsRyM6dRKLtZxrrjuIFL,是,單一規格,77.90,pet_products_clean_retail_only.csv,,,,,,
58,MH-CAT-MCK-020,雞里脊碎沫凍干粉拌飯 (預定),Mamacook,,prod_V8W0OgEY0HBtlD,price_1U8VhuRyM6dRKLtZgTSXTyfh,是,單一規格,90.90,pet_products_clean_retail_only.csv,,,,,,
59,MH-DOG-DBF-001,d.b.f 雞肉軟骨｜d.b.f Chicken Breast & Cartilage Dog Can 85g,d.b.f,DBF-01,prod_V8e1g0toA5TEk7,price_1U8VghRyM6dRKLtZxGwSE72f,是,85g,27.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
60,MH-DOG-DBF-002,d.b.f 雞胸肉&奶酪｜d.b.f Chicken Breast & Cheese Dog Can 85g,d.b.f,DBF-02,prod_V8e1ExxiCmg67D,price_1U8VgkRyM6dRKLtZ3NUks8VZ,是,85g,27.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
61,MH-DOG-DBF-003,d.b.f 雞胸肉濃湯｜d.b.f Chicken Breast in Soup Dog Can 85g,d.b.f,DBF-03,prod_V8e1MyE7x9BZDl,price_1U8VglRyM6dRKLtZJSyEL0xC,是,85g,27.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
62,MH-DOG-DBF-004,d.b.f 雞肉&芝士｜d.b.f Chicken & Cheese Adult Dog Can 85g,d.b.f,DBF-04,prod_V8e1qzONSyt8ru,price_1U8VgaRyM6dRKLtZ506eApli,是,85g,27.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
63,MH-DOG-DBF-005,d.b.f 雞肉&蔬菜｜d.b.f Chicken & Vegetables Adult Dog Can 85g,d.b.f,DBF-05,prod_V8e1XhfhroMZtV,price_1U8VgbRyM6dRKLtZlxvYMDLR,是,85g,27.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
64,MH-DOG-DBF-006,d.b.f 牛肉&軟骨｜d.b.f Beef & Cartilage Dog Can 85g,d.b.f,DBF-06,prod_V8e1nNRuozpeTU,price_1U8VgSRyM6dRKLtZs3ZbrVza,是,85g,27.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
65,MH-DOG-DBF-007,d.b.f 牛肉糜｜d.b.f Beef Mince Dog Can 65g,d.b.f,DBF-07,prod_V8e1Jgdnr9v8HM,price_1U8VgVRyM6dRKLtZ7gyPlKxI,是,65g,26.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
66,MH-DOG-DBF-008,d.b.f 雞肉&紅薯小粒｜d.b.f Chicken & Sweet Potato Adult Dog Can 85g,d.b.f,DBF-08,prod_V8e143elQIOfMM,price_1U8VgYRyM6dRKLtZxDR4pp7h,是,85g,27.90,dbf_dog_cans_23_items(1).xlsx,,,,,,
